Dataset: IMDB-BINARY, Model: GCN, Seed: 1314, Aug: Vanilla, Best epoch: 136, Test acc: 0.7, Test loss: 0.7623654270172119, Val acc: 0.68, Val loss: 1.1393622159957886
Dataset: IMDB-BINARY, Model: GCN, Seed: 1314, Aug: G-Mixup, Best epoch: 45, Test acc: 0.755, Test loss: 0.47717231273651123, Val acc: 0.65, Val loss: 0.6421794891357422
Dataset: IMDB-BINARY, Model: GCN, Seed: 1314, Aug: Subgraph, Best epoch: 36, Test acc: 0.745, Test loss: 1.34555819272995, Val acc: 0.71, Val loss: 1.5321346521377563
Dataset: IMDB-BINARY, Model: GCN, Seed: 1314, Aug: DropEdge, Best epoch: 3, Test acc: 0.715, Test loss: 0.6268383014202118, Val acc: 0.69, Val loss: 0.6022088527679443
Dataset: IMDB-BINARY, Model: GCN, Seed: 1314, Aug: DropNode, Best epoch: 7, Test acc: 0.77, Test loss: 0.4938109564781189, Val acc: 0.72, Val loss: 0.586897075176239
Dataset: IMDB-BINARY, Model: GCN, Seed: 11314, Aug: Vanilla, Best epoch: 6, Test acc: 0.72, Test loss: 0.5061973237991333, Val acc: 0.75, Val loss: 0.5842564105987549
Dataset: IMDB-BINARY, Model: GCN, Seed: 11314, Aug: G-Mixup, Best epoch: 8, Test acc: 0.71, Test loss: 0.553272123336792, Val acc: 0.77, Val loss: 0.5534679293632507
Dataset: IMDB-BINARY, Model: GCN, Seed: 11314, Aug: Subgraph, Best epoch: 36, Test acc: 0.65, Test loss: 0.9828029370307922, Val acc: 0.72, Val loss: 0.8099324107170105
Dataset: IMDB-BINARY, Model: GCN, Seed: 11314, Aug: DropEdge, Best epoch: 12, Test acc: 0.7, Test loss: 0.550041651725769, Val acc: 0.75, Val loss: 0.6273733377456665
Dataset: IMDB-BINARY, Model: GCN, Seed: 11314, Aug: DropNode, Best epoch: 12, Test acc: 0.705, Test loss: 0.549940984249115, Val acc: 0.74, Val loss: 0.6341831088066101
Dataset: IMDB-BINARY, Model: GCN, Seed: 21314, Aug: Vanilla, Best epoch: 88, Test acc: 0.69, Test loss: 0.5977797603607178, Val acc: 0.8, Val loss: 0.4403994381427765
Dataset: IMDB-BINARY, Model: GCN, Seed: 21314, Aug: G-Mixup, Best epoch: 122, Test acc: 0.705, Test loss: 0.5504322588443756, Val acc: 0.8, Val loss: 0.5428794026374817
Dataset: IMDB-BINARY, Model: GCN, Seed: 21314, Aug: Subgraph, Best epoch: 16, Test acc: 0.675, Test loss: 0.6849710774421692, Val acc: 0.83, Val loss: 0.493978887796402
Dataset: IMDB-BINARY, Model: GCN, Seed: 21314, Aug: DropEdge, Best epoch: 22, Test acc: 0.7, Test loss: 0.8105686354637146, Val acc: 0.79, Val loss: 0.6954056024551392
Dataset: IMDB-BINARY, Model: GCN, Seed: 21314, Aug: DropNode, Best epoch: 12, Test acc: 0.685, Test loss: 0.7449668073654174, Val acc: 0.77, Val loss: 0.7253001928329468
Dataset: IMDB-BINARY, Model: GCN, Seed: 31314, Aug: Vanilla, Best epoch: 95, Test acc: 0.74, Test loss: 0.5962683773040771, Val acc: 0.83, Val loss: 0.5175744891166687
Dataset: IMDB-BINARY, Model: GCN, Seed: 31314, Aug: G-Mixup, Best epoch: 27, Test acc: 0.745, Test loss: 0.49982491493225095, Val acc: 0.78, Val loss: 0.5279913544654846
Dataset: IMDB-BINARY, Model: GCN, Seed: 31314, Aug: Subgraph, Best epoch: 21, Test acc: 0.745, Test loss: 0.579584367275238, Val acc: 0.79, Val loss: 0.5683152675628662
Dataset: IMDB-BINARY, Model: GCN, Seed: 31314, Aug: DropEdge, Best epoch: 6, Test acc: 0.745, Test loss: 0.5164303493499756, Val acc: 0.75, Val loss: 0.4886820912361145
Dataset: IMDB-BINARY, Model: GCN, Seed: 31314, Aug: DropNode, Best epoch: 52, Test acc: 0.695, Test loss: 1.537907781600952, Val acc: 0.81, Val loss: 0.943468451499939
Dataset: IMDB-BINARY, Model: GCN, Seed: 41314, Aug: Vanilla, Best epoch: 42, Test acc: 0.75, Test loss: 0.5073478937149047, Val acc: 0.73, Val loss: 0.6082291603088379
Dataset: IMDB-BINARY, Model: GCN, Seed: 41314, Aug: G-Mixup, Best epoch: 23, Test acc: 0.725, Test loss: 0.521459881067276, Val acc: 0.77, Val loss: 0.5226395130157471
Dataset: IMDB-BINARY, Model: GCN, Seed: 41314, Aug: Subgraph, Best epoch: 50, Test acc: 0.79, Test loss: 2.2795623207092284, Val acc: 0.75, Val loss: 1.122312307357788
Dataset: IMDB-BINARY, Model: GCN, Seed: 41314, Aug: DropEdge, Best epoch: 6, Test acc: 0.74, Test loss: 0.5724595928192139, Val acc: 0.75, Val loss: 0.5058628916740417
Dataset: IMDB-BINARY, Model: GCN, Seed: 41314, Aug: DropNode, Best epoch: 7, Test acc: 0.75, Test loss: 0.5153414583206177, Val acc: 0.74, Val loss: 0.5046085119247437
Dataset: IMDB-BINARY, Model: GCN, Seed: 51314, Aug: Vanilla, Best epoch: 5, Test acc: 0.7, Test loss: 0.580206081867218, Val acc: 0.84, Val loss: 0.41082504391670227
